X,Y
-1574.225,-3539.15625
-1574.225,-3539.15625
-1677.225,-3441.15625
-1805.225,-3319.15625
-1973.225,-3160.15625
-2089.225,-3049.15625
-2154.225,-2987.15625
-2440.225,-2714.15625
-2690.225,-2480.15625
-2957.225,-2225.15625
-3063.225,-2125.15625
-3220.225,-1977.15625
-3399.225,-1807.15625
-3557.225,-1635.15625
-3616.225,-1558.15625
-3691.225,-1433.15625
-3736.225,-1307.15625
-3736.225,-1307.15625
-3745.225,-1184.15625
-3735.225,-1086.15625
-3713.225,-979.15625
-3648.225,-717.15625
-3633.225,-639.15625
-3624.225,-453.15625
-3648.225,-240.15625
-3700.225,-45.15625
-3709.225,-21.15625
-3758.225,86.84375
-3942.225,354.84375
-4102.225,524.84375
-4175.225,591.84375
-4360.225,750.84375
-4481.225,856.84375
-4691.225,1047.84375
-4691.225,1047.84375
-4813.225,1161.84375
-4912.225,1257.84375
-5145.225,1489.84375
-5267.225,1614.84375
-5443.225,1802.84375
-5530.225,1898.84375
-5628.225,2008.84375
-5833.225,2245.84375
-5936.225,2371.84375
-6053.225,2514.84375
-6219.225,2729.84375
-6321.225,2865.84375
-6462.225,3060.84375
-6573.225,3216.84375
-6671.225,3359.84375
-6807.225,3562.84375
-6807.225,3562.84375
-6971.225,3808.84375
-7130.225,4056.84375
-7188.225,4156.84375
-7223.225,4222.84375
-7265.225,4338.84375
-7282.225,4452.84375
-7281.225,4525.84375
-7268.225,4598.84375
-7250.225,4649.84375
-7196.225,4728.84375
-7110.225,4785.84375
-7034.225,4810.84375
-6977.225,4821.84375
-6884.225,4835.84375
-6820.225,4843.84375
-6681.225,4860.84375
-6681.225,4860.84375
-6559.225,4871.84375
-6384.225,4899.84375
-6311.225,4920.84375
-6216.225,4958.84375
-6121.225,5015.84375
-6052.225,5073.84375
-5988.225,5148.84375
-5921.225,5279.84375
-5900.225,5353.84375
-5883.225,5492.84375
-5882.225,5534.84375
-5888.225,5641.84375
-5908.225,5818.84375
-5921.225,5909.84375
-5942.225,6050.84375
-5942.225,6050.84375
-5960.225,6158.84375
-5983.225,6293.84375
-6003.225,6432.84375
-6020.225,6678.84375
-6014.225,6838.84375
-5984.225,7039.84375
-5931.225,7210.84375
-5840.225,7382.84375
-5783.225,7462.84375
-5666.225,7586.84375
-5569.225,7672.84375
-5400.225,7807.84375
-5306.225,7877.84375
-5091.225,8033.84375
-4991.225,8099.84375
-4771.225,8231.84375
-4771.225,8231.84375
-4744.225,8246.84375
-4539.225,8352.84375
-4384.225,8425.84375
-4169.225,8519.84375
-3995.225,8595.84375
-3842.225,8662.84375
-3724.225,8713.84375
-3548.225,8792.84375
-3327.225,8893.84375
-3079.225,9014.84375
-2883.225,9123.84375
-2679.225,9250.84375
-2512.225,9333.84375
-2404.225,9354.84375
-2302.225,9351.84375
-2176.225,9319.84375
-2176.225,9319.84375
-2000.225,9217.84375
-1955.225,9183.84375
-1800.225,9069.84375
-1657.225,8991.84375
-1486.225,8929.84375
-1375.225,8900.84375
-1263.225,8874.84375
-1136.225,8847.84375
-877.225,8798.84375
-689.225,8757.84375
-502.225,8704.84375
-373.225,8661.84375
-122.225,8550.84375
108.775,8401.84375
236.775,8289.84375
473.775,8019.84375
473.775,8019.84375
622.775,7797.84375
719.775,7616.84375
801.775,7427.84375
869.775,7232.84375
914.775,7079.84375
954.775,6924.84375
1084.775,6192.84375
1093.775,5867.84375
1086.775,5736.84375
1072.775,5523.84375
1049.775,5245.84375
1027.775,5049.84375
965.775,4778.84375
909.775,4621.84375
880.775,4543.84375
834.775,4418.84375
834.775,4418.84375
775.775,4244.84375
727.775,4100.84375
670.775,3922.84375
622.775,3777.84375
515.775,3489.84375
437.775,3316.84375
363.775,3159.84375
336.775,3096.84375
279.775,2936.84375
233.775,2750.84375
204.775,2577.84375
186.775,2368.84375
205.775,1868.84375
232.775,1621.84375
252.775,1481.84375
252.775,1481.84375
280.775,1326.84375
326.775,1137.84375
377.775,967.84375
450.775,768.84375
541.775,555.84375
601.775,426.84375
648.775,330.84375
749.775,142.84375
858.775,-40.15625
1035.775,-285.15625
1199.775,-475.15625
1368.775,-650.15625
1510.775,-788.15625
1695.775,-957.15625
1817.775,-1064.15625
1981.775,-1203.15625
1981.775,-1203.15625
2106.775,-1305.15625
2345.775,-1486.15625
2441.775,-1552.15625
2624.775,-1652.15625
2766.775,-1694.15625
2954.775,-1701.15625
3134.775,-1681.15625
3336.775,-1652.15625
3523.775,-1632.15625
3733.775,-1627.15625
3958.775,-1654.15625
3999.775,-1665.15625
4117.775,-1713.15625
4253.775,-1801.15625
4446.775,-1957.15625
4546.775,-2043.15625
4546.775,-2043.15625
4633.775,-2120.15625
4733.775,-2205.15625
4882.775,-2327.15625
5009.775,-2432.15625
5078.775,-2490.15625
5206.775,-2598.15625
5323.775,-2699.15625
5478.775,-2831.15625
5644.775,-2975.15625
5702.775,-3028.15625
5863.775,-3184.15625
5950.775,-3279.15625
6035.775,-3379.15625
6172.775,-3563.15625
6295.775,-3758.15625
6400.775,-3947.15625
6400.775,-3947.15625
6566.775,-4314.15625
6633.775,-4488.15625
6703.775,-4681.15625
6765.775,-4858.15625
6810.775,-4988.15625
6881.775,-5201.15625
6897.775,-5251.15625
6978.775,-5499.15625
7026.775,-5649.15625
7074.775,-5800.15625
7167.775,-6084.15625
7195.775,-6168.15625
7253.775,-6352.15625
7332.775,-6648.15625
7365.775,-6821.15625
7412.775,-7069.15625
7412.775,-7069.15625
7424.775,-7152.15625
7421.775,-7321.15625
7387.775,-7420.15625
7341.775,-7475.15625
7284.775,-7513.15625
7176.775,-7557.15625
7056.775,-7594.15625
6885.775,-7643.15625
6773.775,-7674.15625
6643.775,-7708.15625
6564.775,-7728.15625
6399.775,-7768.15625
6202.775,-7814.15625
6065.775,-7848.15625
5901.775,-7893.15625
5901.775,-7893.15625
5816.775,-7915.15625
5618.775,-7963.15625
5530.775,-7991.15625
5389.775,-8029.15625
