Driver,Distance,Speed,LapTimeSec
SAI,3.9625,317.0,80.294
SAI,21.629166666666666,318.0,80.294
SAI,53.72916666666667,321.0,80.294
SAI,71.56250000000001,321.0,80.294
SAI,85.87361111111112,322.0,80.294
SAI,107.47361111111113,324.0,80.294
SAI,125.52916666666667,325.0,80.294
SAI,151.0402777777778,328.0,80.294
SAI,180.28472222222223,329.0,80.294
SAI,213.48472222222225,332.0,80.294
SAI,250.48472222222225,333.0,80.294
SAI,269.0958333333333,335.0,80.294
SAI,299.0513888888889,337.0,80.294
SAI,321.5847222222222,338.0,80.294
SAI,347.8736111111111,338.0,80.294
SAI,366.76249999999993,340.0,80.294
SAI,400.86749999999995,342.0,80.294
SAI,439.0738888888888,343.0,80.294
SAI,454.31833333333327,343.0,80.294
SAI,484.98499999999996,345.0,80.294
SAI,500.3183333333333,345.0,80.294
SAI,519.485,345.0,80.294
SAI,561.7738888888889,346.0,80.294
SAI,580.9961111111112,346.0,80.294
SAI,607.9850000000001,347.0,80.294
SAI,642.7850000000001,348.0,80.294
SAI,665.9850000000001,348.0,80.294
SAI,693.2072222222224,350.0,80.294
SAI,716.4072222222223,348.0,80.294
SAI,739.5405555555557,347.0,80.294
SAI,781.585,344.0,80.294
SAI,809.2850000000001,277.0,80.294
SAI,819.9961111111112,241.0,80.294
SAI,830.1294444444445,228.0,80.294
SAI,844.5961111111111,186.0,80.294
SAI,868.2405555555556,133.0,80.294
SAI,875.9072222222222,115.0,80.294
SAI,880.8405555555555,111.0,80.294
SAI,888.5405555555556,99.0,80.294
SAI,896.6041666666666,91.0,80.294
SAI,900.495,87.0,80.294
SAI,907.7838888888889,82.0,80.294
SAI,914.083888888889,81.0,80.294
SAI,924.2283333333334,83.0,80.294
SAI,932.0283333333333,78.0,80.294
SAI,941.3616666666667,70.0,80.294
SAI,947.8505555555556,73.0,80.294
SAI,953.8394444444444,77.0,80.294
SAI,982.2061111111111,111.0,80.294
SAI,997.4838888888889,125.0,80.294
SAI,1005.2061111111111,139.0,80.294
SAI,1029.7616666666665,170.0,80.294
SAI,1048.1616666666664,184.0,80.294
SAI,1070.3838888888888,200.0,80.294
SAI,1097.0283333333332,218.0,80.294
SAI,1122.5838888888889,230.0,80.294
SAI,1132.9394444444445,233.0,80.294
SAI,1143.5616666666667,239.0,80.294
SAI,1154.272777777778,241.0,80.294
SAI,1176.4950000000001,250.0,80.294
SAI,1196.2505555555556,254.0,80.294
SAI,1219.6283333333333,263.0,80.294
SAI,1237.2283333333335,264.0,80.294
SAI,1255.0283333333334,267.0,80.294
SAI,1270.1394444444445,272.0,80.294
SAI,1282.4061111111112,276.0,80.294
SAI,1301.072777777778,280.0,80.294
SAI,1339.0727777777777,285.0,80.294
SAI,1368.072777777778,290.0,80.294
SAI,1387.6061111111112,293.0,80.294
SAI,1403.9394444444445,294.0,80.294
SAI,1423.8061111111112,298.0,80.294
