X,Y
-3619.3875,-2126.625
-3619.3875,-2126.625
-3626.3875,-2001.625
-3619.3875,-1797.625
-3612.3875,-1686.625
-3603.3875,-1559.625
-3584.3875,-1385.625
-3584.3875,-1385.625
-3559.3875,-1212.625
-3533.3875,-1074.625
-3483.3875,-857.625
-3447.3875,-724.625
-3427.3875,-657.625
-3427.3875,-657.625
-3402.3875,-583.625
-3378.3875,-522.625
-3341.3875,-452.625
-3250.3875,-374.625
-3187.3875,-350.625
-3187.3875,-350.625
-3066.3875,-324.625
-2964.3875,-312.625
-2877.3875,-304.625
-2752.3875,-293.625
-2619.3875,-281.625
-2619.3875,-281.625
-2541.3875,-271.625
-2299.3875,-230.625
-2122.3875,-189.625
-2018.3874999999998,-164.625
-1830.3874999999998,-117.625
-1830.3874999999998,-117.625
-1697.3874999999998,-84.625
-1574.3874999999998,-53.625
-1462.3874999999998,-24.625
-1260.3874999999998,26.375
-1142.3874999999998,50.375
-1142.3874999999998,50.375
-967.3874999999998,74.375
-829.3874999999998,85.375
-651.3874999999998,106.375
-453.3874999999998,161.375
-267.3874999999998,246.375
-267.3874999999998,246.375
-18.387499999999818,371.375
88.61250000000018,416.375
226.61250000000018,466.375
411.6125000000002,515.375
618.6125000000002,551.375
854.6125000000002,580.375
854.6125000000002,580.375
988.6125000000002,597.375
1323.6125000000002,684.375
1412.6125000000002,727.375
1542.6125000000002,814.375
1654.6125000000002,925.375
1654.6125000000002,925.375
1709.6125000000002,1003.375
1750.6125000000002,1089.375
1785.6125000000002,1227.375
1791.6125000000002,1382.375
1778.6125000000002,1486.375
1778.6125000000002,1486.375
1744.6125000000002,1606.375
1701.6125000000002,1706.375
1606.6125000000002,1862.375
1511.6125000000002,1985.375
1464.6125000000002,2040.375
1464.6125000000002,2040.375
1345.6125000000002,2207.375
1311.6125000000002,2304.375
1307.6125000000002,2400.375
1339.6125000000002,2532.375
1407.6125000000002,2673.375
1407.6125000000002,2673.375
1429.6125000000002,2708.375
1484.6125000000002,2788.375
1582.6125000000002,2909.375
