Driver,Distance,Speed,LapTimeSec
VER,24.226666666666667,316.0,87.472
VER,48.96,318.0,87.472
VER,84.62666666666667,321.0,87.472
VER,102.46,321.0,87.472
VER,127.66,324.0,87.472
VER,160.06,324.0,87.472
VER,192.76000000000002,327.0,87.472
VER,225.56,328.0,87.472
VER,247.42666666666665,328.0,87.472
VER,269.29333333333335,328.0,87.472
VER,283.87111111111113,328.0,87.472
VER,298.44888888888886,328.0,87.472
VER,327.6044444444444,328.0,87.472
VER,349.4711111111111,328.0,87.472
VER,374.9822222222222,328.0,87.472
VER,397.9266666666667,295.0,87.472
VER,421.1266666666667,261.0,87.472
VER,432.9044444444445,212.0,87.472
VER,443.2966666666667,188.0,87.472
VER,455.81888888888886,161.0,87.472
VER,467.33,148.0,87.472
VER,478.6188888888889,127.0,87.472
VER,489.19666666666666,119.0,87.472
VER,499.18333333333334,112.0,87.472
VER,505.35,111.0,87.472
VER,514.0611111111111,112.0,87.472
VER,521.9944444444445,102.0,87.472
VER,528.3944444444445,96.0,87.472
VER,533.6166666666667,94.0,87.472
VER,540.6944444444445,91.0,87.472
VER,544.6055555555556,88.0,87.472
VER,553.6055555555556,90.0,87.472
VER,564.6055555555556,99.0,87.472
VER,574.1166666666668,107.0,87.472
VER,579.4944444444445,121.0,87.472
VER,594.8277777777779,138.0,87.472
VER,603.4388888888891,155.0,87.472
VER,614.3722222222225,164.0,87.472
VER,623.7611111111113,169.0,87.472
VER,631.6722222222224,178.0,87.472
VER,642.0055555555557,186.0,87.472
VER,650.627777777778,194.0,87.472
VER,659.3833333333336,197.0,87.472
VER,673.1166666666669,206.0,87.472
VER,689.9166666666669,216.0,87.472
VER,699.5450000000002,218.0,87.472
VER,712.1005555555557,226.0,87.472
VER,724.9338888888891,231.0,87.472
VER,740.6005555555557,235.0,87.472
VER,767.7116666666667,244.0,87.472
VER,787.2255555555556,250.0,87.472
VER,804.158888888889,254.0,87.472
VER,836.058888888889,261.0,87.472
VER,853.5922222222223,263.0,87.472
VER,871.3922222222224,267.0,87.472
VER,889.258888888889,268.0,87.472
VER,907.258888888889,270.0,87.472
VER,919.258888888889,270.0,87.472
VER,937.3033333333334,232.0,87.472
VER,948.8588888888889,208.0,87.472
VER,969.0811111111112,182.0,87.472
VER,985.8811111111112,168.0,87.472
VER,995.1588888888889,167.0,87.472
VER,1006.6255555555557,172.0,87.472
VER,1032.2255555555557,192.0,87.472
VER,1054.7811111111112,203.0,87.472
VER,1063.9366666666667,206.0,87.472
VER,1078.0700000000002,212.0,87.472
VER,1090.0144444444445,215.0,87.472
VER,1099.7033333333334,218.0,87.472
VER,1114.5744444444445,224.0,87.472
VER,1124.618888888889,226.0,87.472
VER,1142.6633333333332,232.0,87.472
VER,1158.1299999999999,232.0,87.472
VER,1171.352222222222,238.0,87.472
VER,1192.9305555555552,242.0,87.472
VER,1206.6527777777776,247.0,87.472
VER,1220.4861111111109,249.0,87.472
VER,1231.7305555555554,253.0,87.472
VER,1243.1083333333331,256.0,87.472
VER,1260.308333333333,258.0,87.472
VER,1283.419444444444,260.0,87.472
VER,1297.919444444444,261.0,87.472
VER,1318.297222222222,262.0,87.472
VER,1344.597222222222,263.0,87.472
VER,1371.097222222222,265.0,87.472
VER,1382.8749999999998,265.0,87.472
VER,1394.6527777777776,265.0,87.472
VER,1409.5416666666665,268.0,87.472
VER,1424.4305555555557,268.0,87.472
VER,1439.263888888889,267.0,87.472
VER,1460.0305555555553,267.0,87.472
VER,1480.6416666666664,265.0,87.472
VER,1492.4638888888887,266.0,87.472
VER,1507.297222222222,267.0,87.472
VER,1527.9861111111109,266.0,87.472
VER,1550.9194444444443,258.0,87.472
VER,1578.808333333333,251.0,87.472
VER,1589.7174999999997,247.0,87.472
VER,1605.9841666666664,244.0,87.472
VER,1625.039722222222,245.0,87.472
VER,1638.7063888888886,246.0,87.472
VER,1664.0766666666664,253.0,87.472
VER,1680.8766666666663,252.0,87.472
VER,1694.8211111111107,251.0,87.472
VER,1711.5544444444442,251.0,87.472
VER,1736.954444444444,254.0,87.472
VER,1748.3322222222218,256.0,87.472
VER,1765.5322222222217,258.0,87.472
VER,1782.8655555555551,260.0,87.472
VER,1794.554444444444,263.0,87.472
VER,1809.3322222222218,266.0,87.472
VER,1821.1544444444442,266.0,87.472
VER,1842.3099999999997,272.0,87.472
VER,1857.4211111111108,272.0,87.472
VER,1878.9655555555553,277.0,87.472
VER,1894.5211111111107,280.0,87.472
VER,1910.1322222222218,281.0,87.472
VER,1932.2211111111108,284.0,87.472
VER,1954.465555555555,286.0,87.472
VER,1970.465555555555,288.0,87.472
VER,1993.0211111111107,290.0,87.472
VER,2005.9988888888886,292.0,87.472
VER,2018.9766666666665,292.0,87.472
VER,2038.5766666666666,294.0,87.472
VER,2074.8766666666666,297.0,87.472
VER,2111.3380555555555,299.0,87.472
VER,2134.671388888889,300.0,87.472
VER,2151.338055555556,300.0,87.472
VER,2168.199722222222,302.0,87.472
VER,2188.333055555556,302.0,87.472
VER,2201.7552777777782,302.0,87.472
VER,2225.166388888889,301.0,87.472
VER,2238.544166666667,301.0,87.472
VER,2251.9219444444443,301.0,87.472
VER,2271.988611111111,301.0,87.472
VER,2296.166388888889,272.0,87.472
VER,2314.755277777778,239.0,87.472
VER,2326.9775,220.0,87.472
VER,2338.310833333333,204.0,87.472
