Driver,Distance,Speed,LapTimeSec
LEC,20.364444444444445,316.0,80.161
LEC,37.97555555555556,317.0,80.161
LEC,52.10888888888889,318.0,80.161
LEC,83.9088888888889,318.0,80.161
LEC,101.63111111111111,319.0,80.161
LEC,126.67555555555556,322.0,80.161
LEC,144.62,323.0,80.161
LEC,180.73111111111112,325.0,80.161
LEC,202.46444444444444,326.0,80.161
LEC,220.68666666666667,328.0,80.161
LEC,242.55333333333334,328.0,80.161
LEC,257.08416666666665,329.0,80.161
LEC,271.79527777777776,331.0,80.161
LEC,301.3063888888889,332.0,80.161
LEC,319.8063888888889,333.0,80.161
LEC,356.91749999999996,334.0,80.161
LEC,394.1397222222222,335.0,80.161
LEC,416.6063888888889,337.0,80.161
LEC,431.6286111111111,338.0,80.161
LEC,461.6730555555555,338.0,80.161
LEC,491.9897222222222,340.0,80.161
LEC,507.10083333333324,340.0,80.161
LEC,537.3230555555555,340.0,80.161
LEC,579.1230555555555,342.0,80.161
LEC,594.3230555555556,342.0,80.161
LEC,617.1230555555555,342.0,80.161
LEC,632.3675,343.0,80.161
LEC,678.1008333333333,343.0,80.161
LEC,697.1008333333332,342.0,80.161
LEC,716.0452777777776,341.0,80.161
LEC,738.7119444444443,340.0,80.161
LEC,772.3119444444443,336.0,80.161
LEC,795.489722222222,298.0,80.161
LEC,815.9452777777776,263.0,80.161
LEC,828.889722222222,233.0,80.161
LEC,844.889722222222,180.0,80.161
LEC,857.212222222222,159.0,80.161
LEC,870.0122222222219,128.0,80.161
LEC,876.4566666666664,116.0,80.161
LEC,881.2122222222218,107.0,80.161
LEC,888.8344444444441,98.0,80.161
LEC,894.8344444444441,90.0,80.161
LEC,903.1344444444441,83.0,80.161
LEC,906.6899999999996,80.0,80.161
LEC,910.2011111111107,79.0,80.161
LEC,916.289444444444,78.0,80.161
LEC,927.889444444444,87.0,80.161
LEC,931.4449999999996,80.0,80.161
LEC,936.4449999999996,75.0,80.161
LEC,939.689444444444,73.0,80.161
LEC,945.5227777777774,75.0,80.161
LEC,952.4561111111108,78.0,80.161
LEC,957.9227777777775,82.0,80.161
LEC,965.0005555555553,91.0,80.161
LEC,973.0116666666664,103.0,80.161
LEC,982.1894444444442,118.0,80.161
LEC,989.3005555555554,128.0,80.161
LEC,997.0227777777776,139.0,80.161
LEC,1018.4894444444443,161.0,80.161
LEC,1027.9894444444442,171.0,80.161
LEC,1035.7227777777775,174.0,80.161
LEC,1046.1672222222219,188.0,80.161
LEC,1070.068333333333,196.0,80.161
LEC,1084.0683333333332,210.0,80.161
LEC,1096.2905555555553,220.0,80.161
LEC,1106.0683333333332,220.0,80.161
LEC,1118.7905555555553,229.0,80.161
LEC,1148.4905555555554,243.0,80.161
LEC,1179.2905555555553,252.0,80.161
LEC,1190.668333333333,256.0,80.161
LEC,1208.1408333333331,261.0,80.161
LEC,1219.918611111111,265.0,80.161
LEC,1246.918611111111,270.0,80.161
LEC,1262.0297222222223,272.0,80.161
LEC,1283.6519444444443,278.0,80.161
LEC,1305.5852777777777,282.0,80.161
LEC,1321.418611111111,285.0,80.161
LEC,1334.1741666666665,287.0,80.161
LEC,1346.929722222222,287.0,80.161
LEC,1369.5630555555554,291.0,80.161
LEC,1405.6186111111108,295.0,80.161
LEC,1425.4852777777776,298.0,80.161
LEC,1452.1519444444443,300.0,80.161
LEC,1468.8741666666665,301.0,80.161
LEC,1492.3630555555555,302.0,80.161
LEC,1512.629722222222,304.0,80.161
LEC,1533.096388888889,307.0,80.161
LEC,1550.1519444444443,307.0,80.161
LEC,1577.5327777777775,309.0,80.161
LEC,1598.2661111111106,311.0,80.161
LEC,1625.910555555555,311.0,80.161
LEC,1650.2549999999994,313.0,80.161
LEC,1688.8772222222217,316.0,80.161
LEC,1720.5772222222217,317.0,80.161
LEC,1745.3988888888882,318.0,80.161
LEC,1770.2877777777771,320.0,80.161
LEC,1798.8211111111104,321.0,80.161
LEC,1823.9433333333327,323.0,80.161
LEC,1841.9433333333327,324.0,80.161
LEC,1859.9433333333327,324.0,80.161
LEC,1899.9099999999994,327.0,80.161
LEC,1918.0211111111105,326.0,80.161
