Driver,Distance,Speed,LapTimeSec
LEC,19.133333333333333,280.0,70.27
LEC,47.43333333333334,283.0,70.27
LEC,69.67777777777778,286.0,70.27
LEC,91.92222222222222,286.0,70.27
LEC,109.92222222222222,270.0,70.27
LEC,135.46666666666667,209.0,70.27
LEC,147.86666666666665,186.0,70.27
LEC,160.0,156.0,70.27
LEC,167.7222222222222,139.0,70.27
LEC,175.16666666666666,134.0,70.27
LEC,180.72222222222223,125.0,70.27
LEC,187.38888888888889,120.0,70.27
LEC,195.1888888888889,117.0,70.27
LEC,204.36666666666667,118.0,70.27
LEC,213.7777777777778,121.0,70.27
LEC,221.00000000000003,130.0,70.27
LEC,227.0,135.0,70.27
LEC,237.06666666666666,151.0,70.27
LEC,246.01111111111112,161.0,70.27
LEC,255.45555555555558,170.0,70.27
LEC,273.25555555555553,178.0,70.27
LEC,297.7,200.0,70.27
LEC,306.76666666666665,204.0,70.27
LEC,320.9,212.0,70.27
LEC,330.45555555555546,215.0,70.27
LEC,350.3666666666666,224.0,70.27
LEC,365.6333333333333,229.0,70.27
LEC,383.83333333333337,234.0,70.27
LEC,402.4222222222222,239.0,70.27
LEC,435.22222222222223,246.0,70.27
LEC,454.7361111111111,250.0,70.27
LEC,465.86611111111114,252.0,70.27
LEC,491.56611111111107,257.0,70.27
LEC,503.03277777777777,258.0,70.27
LEC,517.4216666666666,259.0,70.27
LEC,546.755,264.0,70.27
LEC,576.3105555555555,266.0,70.27
LEC,588.2661111111111,269.0,70.27
LEC,612.2661111111111,270.0,70.27
LEC,624.2661111111111,270.0,70.27
LEC,636.3549999999999,272.0,70.27
LEC,655.9549999999998,252.0,70.27
LEC,666.8438888888887,245.0,70.27
LEC,686.4883333333332,221.0,70.27
LEC,698.2105555555554,211.0,70.27
LEC,715.8994444444443,199.0,70.27
LEC,726.677222222222,194.0,70.27
LEC,740.7549999999998,181.0,70.27
LEC,748.7105555555553,179.0,70.27
LEC,765.8105555555553,171.0,70.27
LEC,779.2661111111108,173.0,70.27
LEC,786.9994444444442,174.0,70.27
