X,Y
-1379.14375,-3664.928125
-1379.14375,-3664.928125
-1474.14375,-3587.928125
-1581.14375,-3499.928125
-1690.14375,-3410.928125
-1849.14375,-3280.928125
-1960.14375,-3189.928125
-2121.14375,-3056.928125
-2296.14375,-2912.928125
-2473.14375,-2767.928125
-2473.14375,-2767.928125
-2625.14375,-2641.928125
-2766.14375,-2526.928125
-2920.14375,-2400.928125
-3036.14375,-2304.928125
-3217.14375,-2155.928125
-3398.14375,-2007.928125
-3526.14375,-1901.928125
-3631.14375,-1816.928125
-3882.14375,-1612.928125
-3882.14375,-1612.928125
-4057.14375,-1474.928125
-4166.14375,-1389.928125
-4369.14375,-1229.928125
-4573.14375,-1069.928125
-4682.14375,-984.9281249999999
-4764.14375,-920.9281249999999
-4929.14375,-793.9281249999999
-5066.14375,-686.9281249999999
-5193.14375,-587.9281249999999
-5193.14375,-587.9281249999999
-5390.14375,-428.9281249999999
-5480.14375,-353.9281249999999
-5579.14375,-267.9281249999999
-5700.14375,-151.9281249999999
-5923.14375,213.0718750000001
-5921.14375,353.0718750000001
-5913.14375,379.0718750000001
-5871.14375,448.0718750000001
-5871.14375,448.0718750000001
-5819.14375,494.0718750000001
-5797.14375,508.0718750000001
-5732.14375,538.0718750000001
-5660.14375,557.0718750000001
-5612.14375,564.0718750000001
-5549.14375,570.0718750000001
-5483.14375,571.0718750000001
-5396.14375,568.0718750000001
-5301.14375,560.0718750000001
-5301.14375,560.0718750000001
-5201.14375,548.0718750000001
-5110.14375,534.0718750000001
-5006.14375,513.0718750000001
-4846.14375,476.0718750000001
-4719.14375,440.0718750000001
-4633.14375,412.0718750000001
-4467.14375,350.0718750000001
-4321.14375,286.0718750000001
-4219.14375,235.0718750000001
-4219.14375,235.0718750000001
-4074.14375,152.0718750000001
-4006.14375,109.07187500000009
-3851.14375,1.071875000000091
-3762.14375,-63.92812499999991
-3652.14375,-149.9281249999999
-3442.14375,-322.9281249999999
-3365.14375,-388.9281249999999
-3175.14375,-552.9281249999999
-3175.14375,-552.9281249999999
-2983.14375,-721.9281249999999
-2891.14375,-802.9281249999999
-2680.14375,-984.9281249999999
-2483.14375,-1145.928125
-2358.14375,-1236.928125
-2275.14375,-1290.928125
-2174.14375,-1345.928125
-2033.14375,-1402.928125
-1880.14375,-1426.928125
-1880.14375,-1426.928125
-1855.14375,-1426.928125
-1690.14375,-1386.928125
-1623.14375,-1347.928125
-1572.14375,-1303.928125
-1521.14375,-1239.928125
-1488.14375,-1182.928125
-1445.14375,-1031.928125
-1441.14375,-935.9281249999999
-1452.14375,-842.9281249999999
-1452.14375,-842.9281249999999
-1476.14375,-744.9281249999999
-1511.14375,-650.9281249999999
-1554.14375,-556.9281249999999
-1563.14375,-540.9281249999999
-1611.14375,-451.9281249999999
-1710.14375,-283.9281249999999
-1764.14375,-186.9281249999999
-1810.14375,-91.92812499999991
-1810.14375,-91.92812499999991
-1847.14375,-4.928124999999909
-1877.14375,87.07187500000009
-1909.14375,219.0718750000001
-1928.14375,382.0718750000001
-1924.14375,550.0718750000001
-1919.14375,588.0718750000001
-1831.14375,879.0718750000001
-1781.14375,978.0718750000001
-1694.14375,1137.071875
-1694.14375,1137.071875
-1619.14375,1270.071875
-1470.14375,1513.071875
-1335.14375,1754.071875
-1239.14375,1930.071875
-1136.14375,2117.071875
-1005.14375,2355.071875
-961.14375,2435.071875
-873.14375,2596.071875
-717.14375,2879.071875
-717.14375,2879.071875
-627.14375,3041.071875
-499.14375,3272.071875
-347.14375,3526.071875
-257.14375,3656.071875
-84.14375000000001,3893.071875
20.85624999999999,4029.071875
104.85624999999999,4140.071875
254.85625,4394.071875
254.85625,4394.071875
290.85625,4485.071875
328.85625,4621.071875
341.85625,4909.071875
295.85625,5130.071875
274.85625,5199.071875
216.85625,5360.071875
134.85625,5574.071875
84.85624999999999,5707.071875
-8.143750000000011,6008.071875
-8.143750000000011,6008.071875
-43.14375000000001,6212.071875
-46.14375000000001,6341.071875
-28.14375000000001,6482.071875
53.85624999999999,6688.071875
116.85624999999999,6774.071875
235.85625,6877.071875
375.85625,6939.071875
515.85625,6963.071875
728.85625,6947.071875
728.85625,6947.071875
946.85625,6870.071875
1082.85625,6798.071875
1206.85625,6713.071875
1398.85625,6553.071875
1488.85625,6470.071875
1673.85625,6280.071875
1797.85625,6145.071875
1896.85625,6036.071875
1896.85625,6036.071875
2014.85625,5905.071875
2032.85625,5885.071875
2158.85625,5745.071875
2341.85625,5540.071875
2388.85625,5485.071875
2487.85625,5347.071875
2521.85625,5279.071875
2556.85625,5149.071875
2557.85625,5089.071875
2557.85625,5089.071875
2551.85625,5050.071875
2537.85625,5000.071875
2487.85625,4893.071875
2459.85625,4840.071875
2433.85625,4784.071875
2403.85625,4658.071875
2402.85625,4508.071875
2417.85625,4374.071875
2463.85625,4200.071875
2463.85625,4200.071875
2513.85625,4035.071875
2559.85625,3874.071875
2591.85625,3742.071875
2634.85625,3572.071875
2662.85625,3482.071875
2712.85625,3368.071875
2848.85625,3183.071875
2924.85625,3115.071875
2924.85625,3115.071875
3074.85625,3037.071875
3103.85625,3028.071875
3330.85625,2992.071875
3557.85625,2974.071875
3745.85625,2936.071875
3838.85625,2895.071875
3941.85625,2825.071875
4014.85625,2759.071875
4088.85625,2673.071875
4088.85625,2673.071875
4139.85625,2586.071875
4170.85625,2509.071875
4189.85625,2435.071875
4202.85625,2307.071875
4194.85625,2162.071875
4179.85625,2068.071875
4141.85625,1905.071875
4075.85625,1669.071875
4033.85625,1517.071875
4033.85625,1517.071875
4005.85625,1384.071875
3990.85625,1283.071875
3978.85625,1104.071875
3982.85625,1006.0718750000001
3997.85625,806.0718750000001
4037.85625,620.0718750000001
4083.85625,476.0718750000001
4149.85625,325.0718750000001
4149.85625,325.0718750000001
4306.85625,88.07187500000009
4457.85625,-108.92812499999991
4497.85625,-167.9281249999999
4630.85625,-420.9281249999999
4671.85625,-542.9281249999999
4698.85625,-674.9281249999999
4690.85625,-985.9281249999999
4595.85625,-1246.928125
4515.85625,-1371.928125
4515.85625,-1371.928125
