race,driver,pit_lap,tire_age_at_pit,compound_num,race_progress,position_before,laps_remaining,position_delta,optimal_pit
Singapore2024,RIC,47.0,36.0,1,0.758,16,15.0,-2,0
Singapore2024,RIC,59.0,12.0,0,0.952,18,3.0,0,1
Singapore2024,MAG,29.0,28.0,2,0.468,16,33.0,0,1
Singapore2024,MAG,50.0,21.0,1,0.806,19,12.0,0,1
Singapore2024,ALB,12.0,11.0,1,0.194,17,50.0,-3,0
Australia2026,NOR,12.0,11.0,1,0.207,9,46.0,0,1
Australia2026,NOR,35.0,23.0,2,0.603,6,23.0,0,1
Australia2026,GAS,12.0,11.0,1,0.207,12,46.0,1,1
Australia2026,PER,19.0,18.0,1,0.328,16,39.0,0,1
Australia2026,PER,44.0,25.0,2,0.759,16,14.0,0,1
Australia2026,ANT,13.0,12.0,1,0.224,5,45.0,1,1
Australia2026,ALO,12.0,11.0,0,0.207,17,46.0,-1,0
Australia2026,LEC,26.0,25.0,1,0.448,4,32.0,1,1
Australia2026,STR,12.0,11.0,1,0.207,19,46.0,2,1
Australia2026,STR,27.0,15.0,2,0.466,17,31.0,0,1
Australia2026,STR,35.0,8.0,0,0.603,17,23.0,0,1
Australia2026,STR,40.0,5.0,0,0.69,17,18.0,0,1
Australia2026,ALB,13.0,12.0,1,0.224,12,45.0,-1,0
Australia2026,ALB,34.0,21.0,2,0.586,12,24.0,0,1
Australia2026,VER,19.0,18.0,2,0.328,7,39.0,1,1
Australia2026,VER,42.0,23.0,1,0.724,5,16.0,-1,0
Australia2026,LAW,12.0,11.0,1,0.207,16,46.0,2,1
Australia2026,LAW,34.0,22.0,2,0.586,13,24.0,0,1
Australia2026,OCO,12.0,11.0,1,0.207,11,46.0,1,1
Australia2026,LIN,19.0,18.0,1,0.328,6,39.0,-1,0
Australia2026,COL,47.0,46.0,2,0.81,14,11.0,0,1
Australia2026,HAM,29.0,28.0,1,0.5,4,29.0,0,1
Australia2026,BOR,19.0,18.0,1,0.328,9,39.0,0,1
Australia2026,BOR,34.0,15.0,2,0.586,11,24.0,1,1
Australia2026,SAI,12.0,11.0,0,0.207,13,46.0,1,1
Australia2026,SAI,34.0,22.0,2,0.586,14,24.0,-1,0
Australia2026,SAI,46.0,12.0,1,0.793,15,12.0,0,1
Australia2026,RUS,13.0,12.0,1,0.224,3,45.0,0,1
Australia2026,BEA,19.0,18.0,1,0.328,8,39.0,0,1
China2026,GAS,11.0,10.0,1,0.196,5,45.0,-4,0
China2026,PER,12.0,11.0,1,0.214,12,44.0,-5,0
China2026,ANT,11.0,10.0,1,0.196,1,45.0,0,1
China2026,LEC,11.0,10.0,1,0.196,4,45.0,1,1
China2026,HUL,36.0,35.0,2,0.643,10,20.0,-4,0
China2026,VER,10.0,12.0,0,0.179,12,46.0,1,1
China2026,LAW,10.0,9.0,1,0.179,11,46.0,-1,0
China2026,OCO,30.0,29.0,2,0.536,12,26.0,-3,0
China2026,OCO,47.0,17.0,1,0.839,13,9.0,-1,0
China2026,LIN,43.0,42.0,2,0.768,12,13.0,0,1
China2026,COL,33.0,32.0,2,0.589,11,23.0,-1,0
China2026,HAM,11.0,10.0,1,0.196,3,45.0,1,1
China2026,SAI,10.0,9.0,1,0.179,13,46.0,0,1
China2026,HAD,2.0,4.0,0,0.036,18,54.0,0,1
China2026,HAD,11.0,9.0,2,0.196,17,45.0,3,1
China2026,RUS,11.0,10.0,1,0.196,2,45.0,-2,0
China2026,BOT,11.0,10.0,1,0.196,12,45.0,-3,0
China2026,BEA,11.0,10.0,1,0.196,10,45.0,3,1
Japan2026,NOR,17.0,16.0,1,0.321,6,36.0,-2,0
Japan2026,GAS,23.0,22.0,1,0.434,4,30.0,-3,0
Japan2026,PER,22.0,21.0,1,0.415,18,31.0,0,1
Japan2026,ANT,23.0,22.0,1,0.434,1,30.0,0,1
Japan2026,ALO,22.0,21.0,1,0.415,20,31.0,0,1
Japan2026,ALO,24.0,2.0,2,0.453,20,29.0,0,1
Japan2026,LEC,18.0,17.0,1,0.34,5,35.0,0,1
Japan2026,STR,22.0,21.0,1,0.415,19,31.0,0,1
Japan2026,STR,25.0,3.0,2,0.472,19,28.0,-1,0
Japan2026,ALB,23.0,22.0,1,0.434,13,30.0,-4,0
Japan2026,ALB,46.0,23.0,2,0.868,17,7.0,-3,0
Japan2026,ALB,50.0,4.0,0,0.943,20,3.0,0,1
Japan2026,HUL,24.0,23.0,1,0.453,9,29.0,-4,0
Japan2026,VER,23.0,22.0,1,0.434,6,30.0,-2,0
Japan2026,LAW,23.0,22.0,1,0.434,10,30.0,1,1
Japan2026,OCO,20.0,19.0,1,0.377,9,33.0,-2,0
Japan2026,LIN,19.0,18.0,1,0.358,12,34.0,-2,0
Japan2026,COL,18.0,17.0,1,0.34,14,35.0,-2,0
Japan2026,HAM,23.0,22.0,1,0.434,2,30.0,-1,0
Japan2026,BOR,23.0,22.0,1,0.434,11,30.0,1,1
Japan2026,SAI,23.0,22.0,1,0.434,12,30.0,-3,0
Japan2026,HAD,20.0,19.0,1,0.377,10,33.0,-3,0
Japan2026,RUS,22.0,21.0,1,0.415,2,31.0,-1,0
Japan2026,BOT,20.0,19.0,2,0.377,22,33.0,1,1
Japan2026,PIA,19.0,18.0,1,0.358,2,34.0,0,1
Japan2026,BEA,17.0,16.0,1,0.321,16,36.0,-2,0
